Concept ID	GB/US FSN Term (For reference only)	Translated Term	Language Code	Case significance	Type	Language reference set	Acceptability	Language reference set	Acceptability	Language reference set	Acceptability
871908002	Vaccine product containing only Human alphaherpesvirus 3 and Measles morbillivirus and Mumps orthorubulavirus and Rubella virus antigens (medicinal product)	läkemedel som endast innehåller antigen från mässlingvirus, antigen från påssjukevirus, antigen från rubellavirus och antigen från varicella zoster-virus	sv	ci	SYNONYM	Swedish	PREFERRED
871895005	Vaccine product containing only Bordetella pertussis and Clostridium tetani and Corynebacterium diphtheriae and Haemophilus influenzae type B and Hepatitis B virus and Human poliovirus antigens (medicinal product)	läkemedel som endast innehåller antigen från Bordetella pertussis, antigen från Clostridium tetani, antigen från Corynebacterium diphtheriae, antigen från Haemophilus influenzae typ B, antigen från poliovirus och hepatit B-antigen	sv	cI	SYNONYM	Swedish	PREFERRED
871889009	Vaccine product containing only acellular Bordetella pertussis and Corynebacterium diphtheriae and Hepatitis B virus and inactivated whole Human poliovirus antigens (medicinal product)	läkemedel som endast innehåller acellulärt kikhosteantigen, antigen från Corynebacterium diphtheriae, antigen från inaktiverat helt humant poliovirus och hepatit B-antigen	sv	cI	SYNONYM	Swedish	PREFERRED
871532003	Product containing tetanus immunoglobulin of human origin in parenteral dose form (medicinal product form)	läkemedel som innehåller humant immunglobulin mot stelkramp, parenteral läkemedelsform	sv	ci	SYNONYM	Swedish	PREFERRED
871893003	Vaccine product containing only acellular Bordetella pertussis and Clostridium tetani and Corynebacterium diphtheriae and inactivated whole Human poliovirus antigens (medicinal product)	läkemedel som endast innehåller acellulärt kikhosteantigen, antigen från Clostridium tetani, antigen från Corynebacterium diphtheriae och antigen från inaktiverat helt humant poliovirus	sv	cI	SYNONYM	Swedish	PREFERRED
871892008	Vaccine product containing Bordetella pertussis and Clostridium tetani and Corynebacterium diphtheriae and Hepatitis B virus and Human poliovirus antigens (medicinal product)	läkemedel som innehåller antigen från Bordetella pertussis, antigen från Clostridium tetani, antigen från Corynebacterium diphtheriae, antigen från poliovirus och hepatit B-antigen	sv	cI	SYNONYM	Swedish	PREFERRED
871891001	Vaccine product containing only acellular Bordetella pertussis and Clostridium tetani and Corynebacterium diphtheriae and Hepatitis B virus and inactivated whole Human poliovirus antigens (medicinal product)	läkemedel som endast innehåller acellulärt kikhosteantigen, antigen från Clostridium tetani, antigen från Corynebacterium diphtheriae, antigen från inaktiverat helt humant poliovirus och hepatit B-antigen	sv	cI	SYNONYM	Swedish	PREFERRED
871831003	Vaccine product containing only Measles morbillivirus and Mumps orthorubulavirus and Rubella virus antigens (medicinal product)	läkemedel som endast innehåller antigen från mässlingvirus, antigen från påssjukevirus och antigen från rubellavirus	sv	ci	SYNONYM	Swedish	PREFERRED
871894009	Vaccine product containing only acellular Bordetella pertussis and Clostridium tetani and low dose Corynebacterium diphtheriae and inactivated whole Human poliovirus antigens (medicinal product)	läkemedel som endast innehåller acellulärt kikhosteantigen, antigen från Clostridium tetani, antigen från Corynebacterium diphtheriae och antigen från inaktiverat helt humant poliovirus	sv	cI	SYNONYM	Swedish	PREFERRED
871925000	Vaccine product containing only Hepatitis B virus surface protein antigen (medicinal product)	läkemedel som endast innehåller hepatit B-ytantigen	sv	cI	SYNONYM	Swedish	PREFERRED
871911001	Vaccine product containing only Borrelia burgdorferi antigen (medicinal product)	läkemedel som endast innehåller antigen från Borrelia burgdorferi	sv	cI	SYNONYM	Swedish	PREFERRED
951000221102	Vaccine product containing only Neisseria meningitidis serogroup C capsular polysaccharide conjugated antigen (medicinal product)	läkemedel som endast innehåller antigen, kapselpolysackarid från Neisseria meningitidis, serogrupp C, konjugerat	sv	cI	SYNONYM	Swedish	PREFERRED
871917002	Vaccine product containing Bordetella pertussis and Clostridium tetani and Corynebacterium diphtheriae and Hepatitis B virus (medicinal product)	läkemedel som innehåller antigen från Bordetella pertussis, antigen från Clostridium tetani, antigen från Corynebacterium diphtheriae och hepatit B-antigen	sv	cI	SYNONYM	Swedish	PREFERRED
871896006	Vaccine product containing Bordetella pertussis and Clostridium tetani and Corynebacterium diphtheriae and Haemophilus influenzae type B and Hepatitis B virus and Human poliovirus antigens (medicinal product)	läkemedel som innehåller antigen från Bordetella pertussis, antigen från Clostridium tetani, antigen från Corynebacterium diphtheriae, antigen från Haemophilus influenzae typ B, antigen från poliovirus och hepatit B-antigen	sv	cI	SYNONYM	Swedish	PREFERRED
871929006	Vaccine product containing only Clostridium tetani and Corynebacterium diphtheriae and Hepatitis B virus antigens (medicinal product)	läkemedel som endast innehåller antigen från Clostridium tetani, antigen från Corynebacterium diphtheriae och hepatit B-antigen	sv	cI	SYNONYM	Swedish	PREFERRED
871890000	Vaccine product containing only Clostridium tetani and Corynebacterium diphtheriae and Haemophilus influenzae type B and Human poliovirus antigens (medicinal product)	läkemedel som endast innehåller antigen från Clostridium tetani, antigen från Corynebacterium diphtheriae, antigen från Haemophilus influenzae typ B och antigen från poliovirus	sv	cI	SYNONYM	Swedish	PREFERRED
911000221103	Vaccine product containing only Human papillomavirus antigen (medicinal product)	läkemedel som endast innehåller antigen från humant papillomvirus	sv	ci	SYNONYM	Swedish	PREFERRED
836397001	Vaccine product containing Coxiella burnetii antigen (medicinal product)	läkemedel som innehåller antigen från Coxiella burnetii	sv	cI	SYNONYM	Swedish	PREFERRED
871886002	Vaccine product containing only Bordetella pertussis and Clostridium tetani and Corynebacterium diphtheriae and Haemophilus influenzae type B and Hepatitis B virus antigens (medicinal product)	läkemedel som endast innehåller antigen från Bordetella pertussis, antigen från Clostridium tetani, antigen från Corynebacterium diphtheriae, antigen från Haemophilus influenzae typ B och hepatit B-antigen	sv	cI	SYNONYM	Swedish	PREFERRED
871919004	Vaccine product containing only Human alphaherpesvirus 3 antigen (medicinal product)	läkemedel som endast innehåller antigen från varicella zoster-virus	sv	ci	SYNONYM	Swedish	PREFERRED
871758000	Vaccine product containing only Bordetella pertussis antigen (medicinal product)	läkemedel som endast innehåller antigen från Bordetella pertussis	sv	cI	SYNONYM	Swedish	PREFERRED
871547007	Product containing equine diphtheria antitoxin (medicinal product)	läkemedel som innehåller antitoxin mot difteri utvunnet från häst	sv	ci	SYNONYM	Swedish	PREFERRED
871888001	Vaccine product containing only acellular Bordetella pertussis and Clostridium tetani and Corynebacterium diphtheriae and Haemophilus influenzae type B and inactivated whole Human poliovirus antigens (medicinal product)	läkemedel som endast innehåller acellulärt kikhosteantigen, antigen från Clostridium tetani, antigen från Corynebacterium diphtheriae, antigen från Haemophilus influenzae typ B och antigen från inaktiverat helt humant poliovirus	sv	cI	SYNONYM	Swedish	PREFERRED
871725009	Vaccine product containing only inactivated whole Japanese encephalitis virus antigen (medicinal product)	läkemedel som endast innehåller antigen från inaktiverat japanskt encefalitvirus	sv	ci	SYNONYM	Swedish	PREFERRED
871887006	Vaccine product containing only Bordetella pertussis and Clostridium tetani and Corynebacterium diphtheriae and Haemophilus influenzae type B and Human poliovirus antigens (medicinal product)	läkemedel som endast innehåller antigen från Bordetella pertussis, antigen från Clostridium tetani, antigen från Corynebacterium diphtheriae, antigen från Haemophilus influenzae typ B och antigen från poliovirus	sv	cI	SYNONYM	Swedish	PREFERRED
836493003	Vaccine product containing Hepatitis A and Hepatitis B virus antigens (medicinal product)	läkemedel som innehåller antigen från hepatit A-virus och hepatit B-antigen	sv	cI	SYNONYM	Swedish	PREFERRED
871550005	Product containing only equine diphtheria antitoxin in parenteral dose form (medicinal product form)	läkemedel som endast innehåller antitoxin mot difteri utvunnet från häst, parenteral läkemedelsform	sv	ci	SYNONYM	Swedish	PREFERRED
871765008	Vaccine product containing only Measles morbillivirus antigen (medicinal product)	läkemedel som endast innehåller antigen från mässlingvirus	sv	ci	SYNONYM	Swedish	PREFERRED
871883005	Vaccine product containing only acellular Bordetella pertussis and Clostridium tetani and Corynebacterium diphtheriae and Human poliovirus antigens (medicinal product)	läkemedel som endast innehåller acellulärt kikhosteantigen, antigen från Clostridium tetani, antigen från Corynebacterium diphtheriae och antigen från poliovirus	sv	cI	SYNONYM	Swedish	PREFERRED
870520008	Product containing remdesivir in parenteral dose form (medicinal product form)	läkemedel som innehåller remdesivir, parenteral läkemedelsform	sv	ci	SYNONYM	Swedish	PREFERRED
871751006	Vaccine product containing only Hepatitis A virus antigen (medicinal product)	läkemedel som endast innehåller antigen från hepatit A-virus	sv	cI	SYNONYM	Swedish	PREFERRED
871800005	Product containing ozanimod (medicinal product)	läkemedel som innehåller ozanimod	sv	ci	SYNONYM	Swedish	PREFERRED
871708007	Product containing only pemigatinib (medicinal product)	läkemedel som endast innehåller pemigatinib	sv	ci	SYNONYM	Swedish	PREFERRED
871739009	Vaccine product containing only Human poliovirus antigen (medicinal product)	läkemedel som endast innehåller antigen från poliovirus	sv	ci	SYNONYM	Swedish	PREFERRED
838478007	Product containing trastuzumab deruxtecan (medicinal product)	läkemedel som innehåller trastuzumab deruxtekan	sv	ci	SYNONYM	Swedish	PREFERRED
870518005	Product containing remdesivir (medicinal product)	läkemedel som innehåller remdesivir	sv	ci	SYNONYM	Swedish	PREFERRED
871788009	Product containing only eptinezumab (medicinal product)	läkemedel som endast innehåller eptinezumab	sv	ci	SYNONYM	Swedish	PREFERRED
870502004	Product containing tetracaine in oromucosal dose form (medicinal product form)	läkemedel som innehåller tetrakain, läkemedelsform för munhåla	sv	ci	SYNONYM	Swedish	PREFERRED
871761004	Vaccine product containing only Rotavirus antigen (medicinal product)	läkemedel som endast innehåller antigen från rotavirus	sv	ci	SYNONYM	Swedish	PREFERRED
871815006	Product containing only sacituzumab govitecan in parenteral dose form (medicinal product form)	läkemedel som endast innehåller sacituzumabgovitekan, parenteral läkemedelsform	sv	ci	SYNONYM	Swedish	PREFERRED
840617004	Product containing only autologous cultured chondrocyte in parenteral dose form (medicinal product form)	läkemedel som endast innehåller autolog odlad kondrocyt, parenteral läkemedelsform	sv	ci	SYNONYM	Swedish	PREFERRED
870612004	Product containing only bempedoic acid in oral dose form (medicinal product form)	läkemedel som endast innehåller bempedinsyra, oral läkemedelsform	sv	ci	SYNONYM	Swedish	PREFERRED
863997006	Product containing precisely ixazomib (as ixazomib citrate) 3 milligram/1 each conventional release oral capsule (clinical drug)	ixazomib (som ixazomibcitrat) 3 mg, oral kapsel	sv	cI	SYNONYM	Swedish	PREFERRED
871825001	Vaccine product containing only inactivated whole Japanese encephalitis virus antigen adsorbed (medicinal product)	läkemedel som endast innehåller antigen från inaktiverat helt japanskt encefalitvirus, adsorberat	sv	ci	SYNONYM	Swedish	PREFERRED
871838009	Vaccine product containing only Clostridium tetani and low dose Corynebacterium diphtheriae and inactivated Human poliovirus antigens (medicinal product)	läkemedel som endast innehåller antigen från Clostridium tetani, antigen från Corynebacterium diphtheriae och antigen från inaktiverat helt humant poliovirus	sv	cI	SYNONYM	Swedish	PREFERRED
871730008	Low dose vaccine product containing only Corynebacterium diphtheriae antigen (medicinal product)	läkemedel som endast innehåller antigen från Corynebacterium diphtheriae	sv	cI	SYNONYM	Swedish	PREFERRED
863991007	Product containing precisely panobinostat (as panobinostat lactate) 20 milligram/1 each conventional release oral capsule (clinical drug)	panobinostat (som panobistatlaktat) 20 mg, oral kapsel	sv	cI	SYNONYM	Swedish	PREFERRED
871719005	Vaccine product containing only Tick-borne encephalitis virus antigen (medicinal product)	läkemedel som endast innehåller antigen från fästingburet encefalitvirus	sv	ci	SYNONYM	Swedish	PREFERRED
871817003	Vaccine product containing only Measles morbillivirus and Rubella virus antigens (medicinal product)	läkemedel som endast innehåller antigen från mässlingvirus och antigen från rubellavirus	sv	ci	SYNONYM	Swedish	PREFERRED
871721000	Vaccine product containing only Ebolavirus antigen (medicinal product)	läkemedel som endast innehåller antigen från ebolavirus	sv	ci	SYNONYM	Swedish	PREFERRED
870521007	Product containing only remdesivir in parenteral dose form (medicinal product form)	läkemedel som endast innehåller remdesivir, parenteral läkemedelsform	sv	ci	SYNONYM	Swedish	PREFERRED
870519002	Product containing only remdesivir (medicinal product)	läkemedel som endast innehåller remdesivir	sv	ci	SYNONYM	Swedish	PREFERRED
865906006	Vaccine product containing Measles morbillivirus and Rubella virus antigens (medicinal product)	läkemedel som innehåller antigen från mässlingvirus och antigen från rubellavirus	sv	ci	SYNONYM	Swedish	PREFERRED
871703003	Product containing precisely pemigatinib 4.5 milligram/1 each conventional release oral tablet (clinical drug)	pemigatinib 4,5 mg, oral tablett	sv	cI	SYNONYM	Swedish	PREFERRED
871755002	Vaccine product containing only Salmonella enterica subspecies enterica serovar Typhi capsular polysaccharide Vi antigen (medicinal product)	läkemedel som endast innehåller antigen från Salmonella Typhi Vi (kapsulärt)	sv	cI	SYNONYM	Swedish	PREFERRED
865997008	Adult vaccine product containing only Hepatitis A virus antigen (medicinal product)	läkemedel som endast innehåller antigen från hepatit A-virus	sv	cI	SYNONYM	Swedish	PREFERRED
871826000	Vaccine product containing only Clostridium tetani and Corynebacterium diphtheriae antigens (medicinal product)	läkemedel som endast innehåller antigen från Clostridium tetani och antigen från Corynebacterium diphtheriae	sv	cI	SYNONYM	Swedish	PREFERRED
836385002	Vaccine product containing Yellow fever virus antigen (medicinal product)	läkemedel som innehåller antigen från gula febern-virus	sv	ci	SYNONYM	Swedish	PREFERRED
838279002	Vaccine product containing Bordetella pertussis and Clostridium tetani and Corynebacterium diphtheriae and Haemophilus influenzae type B and Human poliovirus antigens (medicinal product)	läkemedel som innehåller antigen från Bordetella pertussis, antigen från Clostridium tetani, antigen från Corynebacterium diphtheriae, antigen från Haemophilus influenzae typ B och antigen från poliovirus	sv	cI	SYNONYM	Swedish	PREFERRED
871796004	Product containing precisely ozanimod (as ozanimod hydrochloride) 460 microgram/1 each conventional release oral capsule (clinical drug)	ozanimod (som ozanimodhydroklorid) översättning saknas: 871793007 | 460 (qualifier value) | mikrog, oral kapsel	sv	cI	SYNONYM	Swedish	PREFERRED
871726005	Vaccine product containing only Rabies lyssavirus antigen (medicinal product)	läkemedel som endast innehåller antigen från rabiesvirus	sv	ci	SYNONYM	Swedish	PREFERRED
836383009	Vaccine product containing Vibrio cholerae antigen (medicinal product)	läkemedel som innehåller antigen från Vibrio cholerae	sv	cI	SYNONYM	Swedish	PREFERRED
871750007	Pediatric vaccine product containing only Hepatitis A virus antigen (medicinal product)	läkemedel som endast innehåller antigen från hepatit A-virus	sv	cI	SYNONYM	Swedish	PREFERRED
838492001	Product containing lemborexant (medicinal product)	läkemedel som innehåller lemborexant	sv	ci	SYNONYM	Swedish	PREFERRED
871743008	Product containing Cytomegalovirus antibody in parenteral dose form (medicinal product form)	läkemedel som innehåller antikropp mot cytomegalovirus, parenteral läkemedelsform	sv	ci	SYNONYM	Swedish	PREFERRED
871713006	Product containing tucatinib in oral dose form (medicinal product form)	läkemedel som innehåller tukatinib, oral läkemedelsform	sv	ci	SYNONYM	Swedish	PREFERRED
871704009	Product containing precisely pemigatinib 9 milligram/1 each conventional release oral tablet (clinical drug)	pemigatinib 9 mg, oral tablett	sv	cI	SYNONYM	Swedish	PREFERRED
871707002	Product containing pemigatinib in oral dose form (medicinal product form)	läkemedel som innehåller pemigatinib, oral läkemedelsform	sv	ci	SYNONYM	Swedish	PREFERRED
871798003	Product containing ozanimod in oral dose form (medicinal product form)	läkemedel som innehåller ozanimod, oral läkemedelsform	sv	ci	SYNONYM	Swedish	PREFERRED
860942000	Product containing fibric acid and fibric acid derivative (medicinal product)	läkemedel som innehåller fibrinsyra och dess derivat	sv	ci	SYNONYM	Swedish	PREFERRED
870610007	Product containing only bempedoic acid (medicinal product)	läkemedel som endast innehåller bempedinsyra	sv	ci	SYNONYM	Swedish	PREFERRED
871875004	Vaccine product containing only Bordetella pertussis and Clostridium tetani and Corynebacterium diphtheriae antigens (medicinal product)	läkemedel som endast innehåller antigen från Bordetella pertussis, antigen från Clostridium tetani och antigen från Corynebacterium diphtheriae	sv	cI	SYNONYM	Swedish	PREFERRED
860771009	Product containing isatuximab in parenteral dose form (medicinal product form)	läkemedel som innehåller isatuximab, parenteral läkemedelsform	sv	ci	SYNONYM	Swedish	PREFERRED
871759008	Vaccine product containing only acellular Bordetella pertussis antigen (medicinal product)	läkemedel som endast innehåller acellulärt kikhosteantigen	sv	ci	SYNONYM	Swedish	PREFERRED
836381006	Vaccine product containing Corynebacterium diphtheriae antigen (medicinal product)	läkemedel som innehåller antigen från Corynebacterium diphtheriae	sv	cI	SYNONYM	Swedish	PREFERRED
871822003	Vaccine product containing only Hepatitis B virus antigen (medicinal product)	läkemedel som endast innehåller hepatit B-antigen	sv	cI	SYNONYM	Swedish	PREFERRED
836388000	Vaccine product containing Rubella virus antigen (medicinal product)	läkemedel som innehåller antigen från rubellavirus	sv	ci	SYNONYM	Swedish	PREFERRED
870491000	Product containing growth hormone receptor antagonist (product)	läkemedel som innehåller tillväxthormonreceptorantagonist	sv	ci	SYNONYM	Swedish	PREFERRED
836490000	Product containing only afamelanotide in parenteral dose form (medicinal product form)	läkemedel som endast innehåller afamelanotid, parenteral läkemedelsform	sv	ci	SYNONYM	Swedish	PREFERRED
864006000	Product containing precisely lomitapide (as lomitapide mesilate) 20 milligram/1 each conventional release oral capsule (clinical drug)	lomitapid (som lomitapidmesylat) 20 mg, oral kapsel	sv	cI	SYNONYM	Swedish	PREFERRED
846647005	Product containing bromhexine (medicinal product)	läkemedel som innehåller bromhexin	sv	ci	SYNONYM	Swedish	PREFERRED
860928008	Product containing psyllium and psyllium derivative (product)	läkemedel som innehåller psyllium och dess derivat	sv	ci	SYNONYM	Swedish	PREFERRED
860730003	Product containing amisulpride in parenteral dose form (medicinal product form)	läkemedel som innehåller amisulprid, parenteral läkemedelsform	sv	ci	SYNONYM	Swedish	PREFERRED
840409004	Product containing tazemetostat in oral dose form (medicinal product form)	läkemedel som innehåller tazemetostat, oral läkemedelsform	sv	ci	SYNONYM	Swedish	PREFERRED
838488008	Product containing ubrogepant (medicinal product)	läkemedel som innehåller ubrogepant	sv	ci	SYNONYM	Swedish	PREFERRED
870609002	Product containing bempedoic acid (medicinal product)	läkemedel som innehåller bempedinsyra	sv	ci	SYNONYM	Swedish	PREFERRED
871740006	Vaccine product containing only inactivated whole Human poliovirus antigen (medicinal product)	läkemedel som endast innehåller antigen från inaktiverat helt humant poliovirus	sv	ci	SYNONYM	Swedish	PREFERRED
840668001	Product containing precisely lenvatinib (as lenvatinib mesilate) 4 milligram/1 each conventional release oral capsule (clinical drug)	lenvatinib (som lenvatinibmesylat) 4 mg, oral kapsel	sv	cI	SYNONYM	Swedish	PREFERRED
838409003	Product containing avapritinib (medicinal product)	läkemedel som innehåller avapritinib	sv	ci	SYNONYM	Swedish	PREFERRED
840611003	Product containing autologous cultured chondrocyte (medicinal product)	läkemedel som innehåller autolog odlad kondrocyt	sv	ci	SYNONYM	Swedish	PREFERRED
840661007	Product containing precisely lenalidomide 2.5 milligram/1 each conventional release oral capsule (clinical drug)	lenalidomid 2,5 mg, oral kapsel	sv	cI	SYNONYM	Swedish	PREFERRED
871533008	Product containing only tetanus immunoglobulin of human origin in parenteral dose form (medicinal product form)	läkemedel som endast innehåller humant immunglobulin mot stelkramp, parenteral läkemedelsform	sv	ci	SYNONYM	Swedish	PREFERRED
871738001	Vaccine product containing only live attenuated Mumps orthorubulavirus antigen (medicinal product)	läkemedel som endast innehåller antigen från levande försvagat påsjuke-ortorubulavirus	sv	ci	SYNONYM	Swedish	PREFERRED
838476006	Product containing only lumateperone in oral dose form (medicinal product form)	läkemedel som endast innehåller lumateperon, oral läkemedelsform	sv	ci	SYNONYM	Swedish	PREFERRED
860587009	Product containing precisely dabigatran etexilate (as dabigatran etexilate mesilate) 110 milligram/1 each conventional release oral capsule (clinical drug)	dabigatranetexilat (som dabigatranetexilatmesylat) 110 mg, oral kapsel	sv	cI	SYNONYM	Swedish	PREFERRED
871548002	Product containing only equine diphtheria antitoxin (medicinal product)	läkemedel som endast innehåller antitoxin mot difteri utvunnet från häst	sv	ci	SYNONYM	Swedish	PREFERRED
868272002	Product containing precisely colecalciferol 625 microgram/1 milliliter conventional release oral solution (clinical drug)	kolekalciferol 625 mikrog/ml, oral lösning	sv	cI	SYNONYM	Swedish	PREFERRED
871801009	Product containing only ozanimod (medicinal product)	läkemedel som endast innehåller ozanimod	sv	ci	SYNONYM	Swedish	PREFERRED
863981001	Product containing precisely nitisinone 20 milligram/1 each conventional release oral capsule (clinical drug)	nitisinon 20 mg, oral kapsel	sv	cI	SYNONYM	Swedish	PREFERRED
838494000	Product containing lemborexant in oral dose form (medicinal product form)	läkemedel som innehåller lemborexant, oral läkemedelsform	sv	ci	SYNONYM	Swedish	PREFERRED
871716003	Vaccine product containing only Francisella tularensis antigen (medicinal product)	läkemedel som endast innehåller antigen från Francisella tularensis	sv	cI	SYNONYM	Swedish	PREFERRED
866030000	Product containing only eliglustat in oral dose form (medicinal product form)	läkemedel som endast innehåller eliglustat, oral läkemedelsform	sv	ci	SYNONYM	Swedish	PREFERRED
870489008	Product containing serotonin receptor agonist (product)	läkemedel som innehåller serotoninreceptoragonist	sv	ci	SYNONYM	Swedish	PREFERRED
871737006	Vaccine product containing only Mumps orthorubulavirus antigen (medicinal product)	läkemedel som endast innehåller antigen från påssjukevirus	sv	ci	SYNONYM	Swedish	PREFERRED
840407002	Product containing tazemetostat (medicinal product)	läkemedel som innehåller tazemetostat	sv	ci	SYNONYM	Swedish	PREFERRED
863941008	Product containing only osilodrostat in oral dose form (medicinal product form)	läkemedel som endast innehåller osilodrostat, oral läkemedelsform	sv	ci	SYNONYM	Swedish	PREFERRED
836421005	Vaccine product containing Ebolavirus antigen (medicinal product)	läkemedel som innehåller antigen från ebolavirus	sv	ci	SYNONYM	Swedish	PREFERRED
871827009	Vaccine product containing only Clostridium tetani and low dose Corynebacterium diphtheriae antigens (medicinal product)	läkemedel som endast innehåller antigen från Clostridium tetani och antigen från Corynebacterium diphtheriae	sv	cI	SYNONYM	Swedish	PREFERRED
871873006	Vaccine product containing only Neisseria meningitidis serogroup A, C, W135 and Y antigens (medicinal product)	läkemedel som endast innehåller antigen från Neisseria meningitidis W-135, antigen från Neisseria meningitidis grupp A, antigen från Neisseria meningitidis grupp C och antigen från Neisseria meningitidis, grupp Y	sv	cI	SYNONYM	Swedish	PREFERRED
871866001	Vaccine product containing only Neisseria meningitidis serogroup C antigen (medicinal product)	läkemedel som endast innehåller antigen från Neisseria meningitidis grupp C	sv	cI	SYNONYM	Swedish	PREFERRED
865886007	Product containing precisely cabozantinib (as cabozantinib s-malate) 80 milligram/1 each conventional release oral capsule (clinical drug)	kabozantinib (som kabozantinib S-malat) 80 mg, oral kapsel	sv	cI	SYNONYM	Swedish	PREFERRED
871744002	Product containing only Cytomegalovirus antibody in parenteral dose form (medicinal product form)	läkemedel som endast innehåller antikropp mot cytomegalovirus, parenteral läkemedelsform	sv	ci	SYNONYM	Swedish	PREFERRED
863939007	Product containing only osilodrostat (medicinal product)	läkemedel som endast innehåller osilodrostat	sv	ci	SYNONYM	Swedish	PREFERRED
871806004	Vaccine product containing only Haemophilus influenzae type B and Hepatitis B virus antigens (medicinal product)	läkemedel som endast innehåller antigen från Haemophilus influenzae typ B och hepatit B-antigen	sv	cI	SYNONYM	Swedish	PREFERRED
863994004	Product containing precisely eliglustat (as eliglustat tartrate) 84 milligram/1 each conventional release oral capsule (clinical drug)	eliglustat (som eliglustattartrat) 84 mg, oral kapsel	sv	cI	SYNONYM	Swedish	PREFERRED
871764007	Vaccine product containing only Haemophilus influenzae type B antigen (medicinal product)	läkemedel som endast innehåller antigen från Haemophilus influenzae typ B	sv	cI	SYNONYM	Swedish	PREFERRED
840557007	Product containing only asenapine in transdermal dose form (medicinal product form)	läkemedel som endast innehåller asenapin, transdermal läkemedelsform	sv	ci	SYNONYM	Swedish	PREFERRED
866028002	Product containing only isavuconazonium in parenteral dose form (medicinal product form)	läkemedel som endast innehåller isavukonazonium, parenteral läkemedelsform	sv	ci	SYNONYM	Swedish	PREFERRED
870618000	Product containing only bempedoic acid and ezetimibe in oral dose form (medicinal product form)	läkemedel som endast innehåller bempedinsyra och ezetimib, oral läkemedelsform	sv	ci	SYNONYM	Swedish	PREFERRED
871814005	Product containing sacituzumab govitecan in parenteral dose form (medicinal product form)	läkemedel som innehåller sacituzumabgovitekan, parenteral läkemedelsform	sv	ci	SYNONYM	Swedish	PREFERRED
871876003	Vaccine product containing only acellular Bordetella pertussis and Clostridium tetani and Corynebacterium diphtheriae antigens (medicinal product)	läkemedel som endast innehåller acellulärt kikhosteantigen, antigen från Clostridium tetani och antigen från Corynebacterium diphtheriae	sv	cI	SYNONYM	Swedish	PREFERRED
871717007	Vaccine product containing only Yellow fever virus antigen (medicinal product)	läkemedel som endast innehåller antigen från gula febern-virus	sv	ci	SYNONYM	Swedish	PREFERRED
871767000	Vaccine product containing only Human papillomavirus 9 antigen (medicinal product)	läkemedel som endast innehåller antigen från humant papillomvirus 9	sv	ci	SYNONYM	Swedish	PREFERRED
